Time;cogumelo;Anotação
13:55:42.567 ;30237;0
13:55:45.321 ;28623;0
13:55:48.052 ;28116;0
13:55:50.806 ;27092;0
13:55:53.553 ;26691;0
13:55:56.298 ;25803;0
13:55:59.043 ;25865;0
13:56:01.776 ;26561;0
13:56:04.533 ;26665;0
13:56:07.278 ;25716;0
13:56:10.040 ;21986;0
13:56:12.786 ;21712;0
13:56:15.523 ;24081;0
13:56:18.269 ;23585;0
13:56:21.010 ;22256;0
13:56:23.770 ;23343;0
13:56:26.509 ;22171;0
13:56:29.250 ;24183;0
13:56:32.009 ;23963;0
13:56:34.763 ;25027;0
13:56:37.527 ;23890;0
13:56:40.264 ;25023;0
13:56:43.003 ;25676;0
13:56:45.753 ;25396;0
13:56:48.476 ;22527;0
13:56:51.227 ;24533;0
13:56:54.002 ;25923;0
13:56:56.754 ;26058;0
13:56:59.470 ;25093;0
13:57:02.234 ;25046;0
13:57:04.977 ;24925;0
13:57:07.711 ;25663;0
13:57:10.469 ;25508;0
13:57:13.238 ;24227;0
13:57:15.963 ;24446;0
13:57:18.712 ;25503;0
13:57:21.461 ;25140;0
13:57:24.203 ;26017;0
13:57:26.956 ;24790;0
13:57:29.689 ;24659;0
13:57:32.437 ;25300;0
13:57:35.205 ;26773;0
13:57:37.923 ;22632;0
13:57:40.701 ;23250;0
13:57:43.452 ;24552;0
13:57:46.191 ;25463;0
13:57:48.921 ;24687;0
13:57:51.690 ;24877;0
13:57:54.412 ;24115;0
13:57:57.185 ;26050;0
13:57:59.934 ;25792;0
13:58:02.679 ;25618;0
13:58:05.402 ;24669;0
13:58:08.155 ;24534;0
13:58:10.917 ;25027;0
13:58:13.662 ;22765;0
13:58:16.388 ;23341;0
13:58:19.138 ;23661;0
13:58:21.902 ;23411;0
13:58:24.643 ;24426;0
13:58:27.389 ;24084;0
13:58:30.140 ;24099;0
13:58:32.910 ;25260;0
13:58:35.650 ;26800;0
13:58:38.397 ;24412;0
13:58:41.150 ;23592;0
13:58:43.891 ;26108;0
13:58:46.611 ;26471;0
13:58:49.383 ;26757;0
13:58:52.115 ;25061;0
13:58:54.868 ;25224;0
13:58:57.629 ;25328;0
13:59:00.364 ;25219;0
13:59:03.101 ;27114;0
13:59:05.864 ;28390;0
13:59:08.587 ;26879;0
13:59:11.357 ;25066;0
13:59:14.095 ;26055;0
13:59:16.838 ;24570;0
13:59:19.594 ;25209;0
13:59:22.330 ;24231;0
13:59:25.077 ;23126;0
13:59:27.841 ;24527;0
13:59:30.566 ;22943;0
13:59:33.324 ;23451;0
13:59:36.095 ;23262;0
13:59:38.830 ;23862;0
13:59:41.563 ;21381;0
13:59:44.312 ;25463;0
13:59:47.056 ;25351;0
13:59:49.807 ;24430;0
13:59:52.571 ;24222;0
13:59:55.289 ;25107;0
13:59:58.059 ;26601;0
14:00:00.792 ;27617;0
14:00:03.550 ;27160;0
14:00:06.287 ;27436;0
14:00:09.054 ;27050;0
14:00:11.774 ;25064;0
14:00:14.541 ;25340;0
14:00:17.293 ;25236;0
14:00:20.040 ;26529;0
14:00:22.775 ;26125;0
14:00:25.514 ;26000;0
14:00:28.272 ;25590;0
14:00:31.015 ;25778;0
14:00:33.768 ;27230;0
14:00:36.534 ;25408;0
14:00:39.259 ;24112;0
14:00:42.018 ;26595;0
14:00:44.754 ;26637;0
14:00:47.502 ;27192;0
14:00:50.238 ;28298;0
14:00:53.006 ;28977;0
14:00:55.741 ;27712;0
